#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
2350,4.699999999999704,-153660.73811854923,-129247.41676125734,299.158856286868
2360,4.719999999999702,-153216.73811854923,-129246.03259639721,293.7350778063806
2370,4.7399999999997,-153467.61311854923,-129150.3704027526,297.981516420544
2380,4.759999999999698,-153543.23811854923,-129188.59454798693,298.43982345595714
2390,4.779999999999696,-153136.23811854923,-129149.6433647623,293.92978315980673
2400,4.799999999999693,-153512.81624440418,-129186.1432422282,298.0970743836093
2410,4.819999999999691,-153550.94124440418,-129109.64155744773,299.50170046528893
2420,4.839999999999689,-153394.81624440418,-129098.95503838814,297.719509136978
2430,4.859999999999687,-153824.4545031063,-129037.05135548103,303.74282415080853
2440,4.879999999999685,-153233.0170031063,-129026.42089558521,296.62566187296756
2450,4.899999999999682,-153498.9545031063,-129046.2869954285,299.6410008167529
2460,4.91999999999968,-153252.6420031063,-128991.80240343453,297.2903572184026
2470,4.939999999999678,-153494.0170031063,-129000.4390109819,300.1423145691125
2480,4.959999999999676,-153111.7670031063,-128948.00500267465,296.10077620504023
2490,4.979999999999674,-153107.0170031063,-128983.42385144893,295.60855039595
2500,4.999999999999671,-153032.6420031063,-128920.49127197813,295.468335904502
2510,5.019999999999669,-153347.9545031063,-128935.44665109704,299.1488876592334
2520,5.039999999999667,-153225.0795031063,-128818.19495466689,299.0799801541918
2530,5.059999999999665,-153419.7670031063,-128831.30927451036,301.30496315068893
2540,5.079999999999663,-152989.9545031063,-128696.97895662894,297.68414849945594
2550,5.09999999999966,-153458.9545031063,-128666.644719837,303.8029496653176
2560,5.119999999999658,-153429.3295031063,-128598.78928363707,304.27142232422125
2570,5.139999999999656,-153128.2045031063,-128620.3558658791,300.3171858946872
2580,5.159999999999654,-152993.2670031063,-128615.32374892116,298.7253358859311
2590,5.1799999999996515,-153211.2670031063,-128623.6253159683,301.2949634449683
2600,5.199999999999649,-153120.66877117404,-128682.055608792,299.468780011439
2610,5.219999999999647,-153207.35627117404,-128660.18871584482,300.79899672237786
2620,5.239999999999645,-153136.73127117404,-128588.80269921059,300.80832215837984
2630,5.259999999999643,-153209.04377117404,-128571.30583205319,301.9088388463573
2640,5.2799999999996405,-153023.79377117404,-128563.84195968672,299.7302620837722
2650,5.299999999999638,-153168.4056868615,-128444.4927922691,302.9648197488385
2660,5.319999999999636,-153140.0931868615,-128267.3348922293,304.7887591869752
2670,5.339999999999634,-152838.7806868615,-128292.49485214986,300.7881921895713
2680,5.359999999999632,-153005.5306868615,-128297.05682119622,302.77563114281384
2690,5.3799999999996295,-153103.7806868615,-128378.36444091366,302.98324169419806
2700,5.399999999999627,-153203.9056868615,-128496.55278358847,302.76189496073937
2710,5.419999999999625,-153062.9681868615,-128518.32035086502,300.76812028640603
2720,5.439999999999623,-153200.9056868615,-128412.6787660286,303.7529186007615
2730,5.459999999999621,-153050.30146106752,-128376.10676254728,302.3555770138614
2740,5.4799999999996185,-152920.23896106752,-128362.58986535924,300.9274366665392
2750,5.499999999999616,-152787.61396106752,-128402.41269205738,298.81427500987013
2760,5.519999999999614,-153176.05146106752,-128413.23103482719,303.44158948034686
2770,5.539999999999612,-153130.17646106752,-128387.00834843819,303.20077162614274
2780,5.55999999999961,-152827.61396106752,-128317.87106463849,300.3403979930345
2790,5.5799999999996075,-152937.80146106752,-128346.51128706057,301.3396717066143
2800,5.599999999999605,-153065.92646106752,-128331.27019372757,303.0964681655691
2810,5.619999999999603,-152823.23896106752,-128341.2046113105,300.0008597134839
2820,5.639999999999601,-152658.86396106752,-128261.11760270048,298.9680015155389
2830,5.659999999999599,-152776.23896106752,-128319.98806387885,299.68491138066236
2840,5.6799999999995965,-153105.42646106752,-128188.44382245059,305.33068070485825
2850,5.699999999999594,-152790.73896106752,-128267.50508742506,300.5057153316422
2860,5.719999999999592,-152617.86396106752,-128173.8876172062,299.53450000151804
2870,5.73999999999959,-152548.48896106752,-128212.85352839576,298.20689927869114
2880,5.759999999999588,-152820.05146106752,-128165.43864540127,302.1156222124311
2890,5.7799999999995855,-152774.48896106752,-128121.80211368087,302.0920215536212
2900,5.799999999999583,-152731.60070364957,-128167.14757951896,301.01081267798725
2910,5.819999999999581,-152755.85070364957,-128184.06863594672,301.1006209570319
2920,5.839999999999579,-153009.10070364957,-128183.74571868207,304.2078828819465
2930,5.859999999999577,-152905.28820364957,-128191.23876776488,302.84395372725777
2940,5.8799999999995745,-153010.41320364957,-128258.82026693533,303.30400873594743
2950,5.899999999999572,-152879.22570364957,-128275.30193756556,301.49448271742506
2960,5.91999999999957,-152679.10070364957,-128165.37191579107,300.3892407827506
2970,5.939999999999568,-152585.03820364957,-128216.65789584245,298.60815231802115
2980,5.959999999999566,-152773.91320364957,-128214.60743741557,300.9477373725541
2990,5.979999999999563,-152768.78820364957,-128253.6366624395,300.4066750867195
3000,5.999999999999561,-152460.97570364957,-128194.7663686811,297.35615751842795
